scraped_at,state_id,type,name,warning_color,severity,issued_at,valid_upto,balloon_text,rain_description,thunderstorm_desc,lightning_probability
2026-05-16 07:45 UTC,10,district,ANUGUL,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,BALANGIR,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,BALESHWAR,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,BARAGARH,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,BHADRAK,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,CUTTACK,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,DEOGARH,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,DHENKANAL,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,GAJAPATHI,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,GANJAM,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,JAGATSINGHPUR,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,JAJAPUR,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,JHARSUGUDA,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,KALAHANDI,yellow,Watch,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,KANDHAMAL,yellow,Watch,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,KENDRAPARHA,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,KENDUJHAR,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,KHORDHA,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,KORAPUT,yellow,Watch,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,MALKANGIRI,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,MAYURBHANJ,yellow,Watch,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,NABARANGAPUR,yellow,Watch,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,NAYAGARH,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,NUAPARHA,yellow,Watch,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,PURI,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,RAYAGARHA,yellow,Watch,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,SAMBALPUR,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,SUBARNAPUR,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,SUNDARGARH,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,district,BAUDA,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Angul,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Balangir,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Balasore,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Bargarh,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Baripada,yellow,Watch,2026-05-16 1300,1600,,Light rain: < 5 mm/hr,Light Thunderstorms with maximum surface wind speed less than 40 kmph,Low cloud to ground Lightning probability ( < 30% probability of lightning occurrence)
2026-05-16 07:45 UTC,10,station,Boudh,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Bhadrak,green,No Warning,2026-05-16 1300,1600,,,,
